dataset_name,platform,modality,species,tissue,disease,n_samples,data_access_link,origin,source_paper_title,source_paper_doi,source_paper_year,source_paper_id,found_via,data_downloadable
Mouse posterior brain section,10x Visium,spatial transcriptomics,Mouse,Posterior brain,,1,https://support.10xgenomics.com/spatial-gene-expression/datasets,reused,STMGraph: spatial-context-aware of transcriptomes via a dual-remasked dynamic graph attention model,10.1093/bib/bbae685,2025,PMC11704419,literature_search,unverified (site blocks automated checks: http 403)
Mouse olfactory bulb dataset (Stereo-seq),Stereo-seq,spatial transcriptomics,Mouse,Olfactory bulb,,1,https://github.com/JinmiaoChenLab/SEDR_analyses,reused,STMGraph: spatial-context-aware of transcriptomes via a dual-remasked dynamic graph attention model,10.1093/bib/bbae685,2025,PMC11704419,literature_search,yes (http 200)
Mouse visual cortex dataset,STARmap,spatial transcriptomics,Mouse,Visual cortex,,1,https://www.starmapresources.com/data,reused,STMGraph: spatial-context-aware of transcriptomes via a dual-remasked dynamic graph attention model,10.1093/bib/bbae685,2025,PMC11704419,literature_search,no (http 404)
Mouse olfactory bulb dataset (Slide-seqV2),slide-seqV2,spatial transcriptomics,Mouse,Olfactory bulb,,1,https://portals.broadinstitute.org/single_cell/study/slide-seq-study,reused,STMGraph: spatial-context-aware of transcriptomes via a dual-remasked dynamic graph attention model,10.1093/bib/bbae685,2025,PMC11704419,literature_search,yes (http 200)
Mouse embryo dataset,Stereo-seq,spatial transcriptomics,Mouse,Embryo,,4,https://db.cngb.org/stomics/mosta/,reused,STMGraph: spatial-context-aware of transcriptomes via a dual-remasked dynamic graph attention model,10.1093/bib/bbae685,2025,PMC11704419,literature_search,yes (http 200)
Mouse brain horizontal integration dataset (Anterior and Posterior),10x Visium,spatial transcriptomics,Mouse,Brain,,2,https://zenodo.org/record/6925603#.YuM5WXZBwuU,reused,STMGraph: spatial-context-aware of transcriptomes via a dual-remasked dynamic graph attention model,10.1093/bib/bbae685,2025,PMC11704419,literature_search,"yes (zenodo record, 1 files)"
Mouse breast cancer batch integration dataset,10x Visium,spatial transcriptomics,Mouse,Breast cancer,Breast cancer,2,https://zenodo.org/record/6925603#.YuM5WXZBwuU,reused,STMGraph: spatial-context-aware of transcriptomes via a dual-remasked dynamic graph attention model,10.1093/bib/bbae685,2025,PMC11704419,literature_search,"yes (zenodo record, 1 files)"
Orchid flower-buds dataset,10x Visium,spatial transcriptomics,Orchid,Flower buds,,1,https://academic.oup.com/nar/article/50/17/9724/6696353#supplementary-data,reused,STMGraph: spatial-context-aware of transcriptomes via a dual-remasked dynamic graph attention model,10.1093/bib/bbae685,2025,PMC11704419,literature_search,unverified (site blocks automated checks: http 403)
Healthy mouse femur spatial transcriptomics,Visium Spatial Gene Expression,spatial transcriptomics,mouse,bone marrow (femur),healthy,2,,generated,Characterization of the bone marrow architecture of multiple myeloma using spatial transcriptomics,10.1038/s42003-025-08975-z,2025,PMC12634688,literature_search,no link
MM mouse model femur spatial transcriptomics,Visium Spatial Gene Expression,spatial transcriptomics,mouse,bone marrow (femur),Multiple Myeloma (MM),4,,generated,Characterization of the bone marrow architecture of multiple myeloma using spatial transcriptomics,10.1038/s42003-025-08975-z,2025,PMC12634688,literature_search,no link
Healthy human bone marrow spatial transcriptomics,Visium Spatial Gene Expression,spatial transcriptomics,human,bone marrow,healthy,3,,generated,Characterization of the bone marrow architecture of multiple myeloma using spatial transcriptomics,10.1038/s42003-025-08975-z,2025,PMC12634688,literature_search,no link
Human Multiple Myeloma bone marrow spatial transcriptomics,Visium Spatial Gene Expression,spatial transcriptomics,human,bone marrow,Multiple Myeloma (MM),6,GSE269875,generated,Characterization of the bone marrow architecture of multiple myeloma using spatial transcriptomics,10.1038/s42003-025-08975-z,2025,PMC12634688,literature_search,yes (GEO record GSE269875)
MACSima imaging data of tonsil cancer,MACSima (cyclic immunofluorescence),,human,tonsil,tonsil cancer,,BioImage Archive: S-BIAD1116,generated,Protocol for spatial proteomic profiling of tonsil cancer microenvironments using multiplexed imaging-powered deep visual proteomics,10.1016/j.xpro.2025.103901,2025,PMC12221282,literature_search,yes (BioStudies S-BIAD1116)
Mass spectrometry proteomics data of tonsil cancer microenvironments,timsTOF SCP mass spectrometry,,human,tonsil,tonsil cancer,,PRIDE: PXD057118,generated,Protocol for spatial proteomic profiling of tonsil cancer microenvironments using multiplexed imaging-powered deep visual proteomics,10.1016/j.xpro.2025.103901,2025,PMC12221282,literature_search,yes (PRIDE PXD057118)
Mouse cerebral cortex SNARE-seq data,SNARE-seq,,mouse,cerebral cortex,,,GSE126074,reused,Spatial integration of multi-omics single-cell data with SIMO,10.1038/s41467-025-56523-4,2025,PMC11787318,literature_search,yes (GEO record GSE126074)
ISSAAC-seq data of mouse brain cortex,ISSAAC-seq,spatial transcriptomics,mouse,brain cortex,,,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11264,reused,Spatial integration of multi-omics single-cell data with SIMO,10.1038/s41467-025-56523-4,2025,PMC11787318,literature_search,yes (http 200)
Mouse embryonic Spatial ATAC-RNA-seq data (Dataset 1),Spatial ATAC-RNA-seq,,mouse,embryo,,,https://web.atlasxomics.com/visualization/Fan,reused,Spatial integration of multi-omics single-cell data with SIMO,10.1038/s41467-025-56523-4,2025,PMC11787318,literature_search,yes (http 200)
Mouse brain Spatial ATAC-RNA-seq data (Dataset 2),Spatial ATAC-RNA-seq,,mouse,brain,,,https://web.atlasxomics.com/visualization/Fan,reused,Spatial integration of multi-omics single-cell data with SIMO,10.1038/s41467-025-56523-4,2025,PMC11787318,literature_search,yes (http 200)
Mouse brain Spatial CUT&Tag-RNA-seq (H3K27me3) data (Dataset 3),Spatial CUT&Tag-RNA-seq,,mouse,brain,,,https://web.atlasxomics.com/visualization/Fan,reused,Spatial integration of multi-omics single-cell data with SIMO,10.1038/s41467-025-56523-4,2025,PMC11787318,literature_search,yes (http 200)
Mouse cerebral cortex Drop-seq data,Drop-seq,,mouse,cerebral cortex,,,http://dropviz.org/,reused,Spatial integration of multi-omics single-cell data with SIMO,10.1038/s41467-025-56523-4,2025,PMC11787318,literature_search,"no (link is a site root, not a dataset)"
Mouse cerebral cortex snmC-seq data,snmC-seq,,mouse,cerebral cortex,,,https://brainome.ucsd.edu/annoj/brain_single_nuclei/,reused,Spatial integration of multi-omics single-cell data with SIMO,10.1038/s41467-025-56523-4,2025,PMC11787318,literature_search,yes (http 200)
Mouse cerebral cortex 10x Visium data,10x Visium,spatial transcriptomics,mouse,cerebral cortex,,,https://satijalab.org/seurat/articles/spatial_vignette,reused,Spatial integration of multi-omics single-cell data with SIMO,10.1038/s41467-025-56523-4,2025,PMC11787318,literature_search,yes (http 200)
"Human myocardial infarction scRNA-seq, scATAC-seq and 10x Visium data",10x Visium,spatial transcriptomics,human,heart,myocardial infarction,,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,reused,Spatial integration of multi-omics single-cell data with SIMO,10.1038/s41467-025-56523-4,2025,PMC11787318,literature_search,yes (http 200)
Tissue microarrays (TMAs) profiling tumor and normal tissues,10X Xenium,spatial transcriptomics,human,multiple tumor and normal tissues,cancer and healthy,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSExxx,generated,Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues,10.1038/s41467-025-64990-y,2025,PMC12635344,literature_search,yes (http 200)
Tissue microarrays (TMAs) profiling tumor and normal tissues,Vizgen MERSCOPE,,human,multiple tumor and normal tissues,cancer and healthy,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSExxx,generated,Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues,10.1038/s41467-025-64990-y,2025,PMC12635344,literature_search,yes (http 200)
Tissue microarrays (TMAs) profiling tumor and normal tissues,Nanostring CosMx SMI,spatial transcriptomics,human,multiple tumor and normal tissues,cancer and healthy,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSExxx,generated,Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues,10.1038/s41467-025-64990-y,2025,PMC12635344,literature_search,yes (http 200)
Single-cell RNA sequencing reference dataset for tTMA1 and tTMA2,10x Chromium Single Cell Gene Expression FLEX,,human,tumor tissue microarrays (tTMA1 and tTMA2),cancer and healthy,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSExxx,generated,Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues,10.1038/s41467-025-64990-y,2025,PMC12635344,literature_search,yes (http 200)
intralobar lung sample,SCRINSHOT,,human,lung,healthy,1,,generated,Probe set selection for targeted spatial transcriptomics,10.1038/s41592-024-02496-z,2024,PMC11621025,literature_search,no link
tracheal lung sample,SCRINSHOT,,human,trachea,healthy,1,,generated,Probe set selection for targeted spatial transcriptomics,10.1038/s41592-024-02496-z,2024,PMC11621025,literature_search,no link
developing human heart spatial dataset,in situ sequencing (ISS),spatial transcriptomics,human,heart,healthy,,10.6084/m9.figshare.10058048.v1,reused,Probe set selection for targeted spatial transcriptomics,10.1038/s41592-024-02496-z,2024,PMC11621025,literature_search,unverified (server answered http 202)
human middle temporal gyrus MERFISH dataset,MERFISH,spatial transcriptomics,human,brain,healthy,5,10.5061/dryad.x3ffbg7mw,reused,Probe set selection for targeted spatial transcriptomics,10.1038/s41592-024-02496-z,2024,PMC11621025,literature_search,yes (http 200)
Human Dorsolateral Prefrontal Cortex (DLPFC) dataset,10x Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex (brain),healthy (and brain function/disease study context),12,,reused,AugGCL: Multimodal graph learning for spatial transcriptomics analysis with enhanced gene and morphological data,10.1371/journal.pcbi.1013912,2026,PMC12863693,literature_search,no link
Human breast cancer dataset,,,human,breast,breast cancer,,,reused,AugGCL: Multimodal graph learning for spatial transcriptomics analysis with enhanced gene and morphological data,10.1371/journal.pcbi.1013912,2026,PMC12863693,literature_search,no link
Mouse Embryo E9.5 dataset,,,mouse,"embryo (including AGM, brain, heart, liver, and neural crest)",embryonic development,,,reused,AugGCL: Multimodal graph learning for spatial transcriptomics analysis with enhanced gene and morphological data,10.1371/journal.pcbi.1013912,2026,PMC12863693,literature_search,no link
Arabidopsis thaliana untreated lateral leaf cross-section spatial transcriptome,GaST-seq,spatial transcriptomics,Arabidopsis thaliana,leaf,healthy,3,,generated,Spatially resolved transcriptomics reveals plant host responses to pathogens,10.1186/s13007-019-0498-5,2019,PMC6785889,literature_search,no link
Arabidopsis thaliana flg22 infiltrated lateral leaf spatial transcriptome,GaST-seq,spatial transcriptomics,Arabidopsis thaliana,leaf,PAMP immune response (flg22 infiltration),6,,generated,Spatially resolved transcriptomics reveals plant host responses to pathogens,10.1186/s13007-019-0498-5,2019,PMC6785889,literature_search,no link
Arabidopsis thaliana flg22 droplet spotted lateral leaf spatial transcriptome,GaST-seq,spatial transcriptomics,Arabidopsis thaliana,leaf,PAMP immune response (flg22 droplet spotting),6,,generated,Spatially resolved transcriptomics reveals plant host responses to pathogens,10.1186/s13007-019-0498-5,2019,PMC6785889,literature_search,no link
Arabidopsis thaliana Albugo laibachii infected dual host-pathogen spatial transcriptome,GaST-seq,spatial transcriptomics,Arabidopsis thaliana,leaf,Oomycete infection (Albugo laibachii NC14),2,,generated,Spatially resolved transcriptomics reveals plant host responses to pathogens,10.1186/s13007-019-0498-5,2019,PMC6785889,literature_search,no link
Human lung adenocarcinoma Visium dataset,Visium spatial transcriptomics,spatial transcriptomics,Human,Lung,Lung adenocarcinoma,11,https://zenodo.org/record/7306132,generated,STopover captures spatial colocalization and interaction in the tumor microenvironment using topological analysis in spatial transcriptomics data,10.1186/s13073-025-01457-1,2025,PMC11963362,literature_search,"yes (zenodo record, 1 files)"
Non-small cell lung cancer CosMx SMI dataset,CosMx SMI,spatial transcriptomics,Human,Lung,Non-small cell lung cancer,,https://nanostring.com/products/cosmx-spatial-molecular-imager/nsclc-ffpe-dataset/,reused,STopover captures spatial colocalization and interaction in the tumor microenvironment using topological analysis in spatial transcriptomics data,10.1186/s13073-025-01457-1,2025,PMC11963362,literature_search,yes (http 200)
Human breast cancer Visium and single-cell transcriptomics dataset,Visium spatial transcriptomics,spatial transcriptomics,Human,Breast,Breast cancer (ER+ and TNBC),4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176078,reused,STopover captures spatial colocalization and interaction in the tumor microenvironment using topological analysis in spatial transcriptomics data,10.1186/s13073-025-01457-1,2025,PMC11963362,literature_search,yes (http 200)
Xenium mouse kidney spatial transcriptomics,Xenium,spatial transcriptomics,Mouse,Kidney,"Ischemia-reperfusion injury and repair stages (sham, 4h, 12h, 2d, 14d, 6w)",12,GSE269719,generated,Multimodal spatial transcriptomic characterization of mouse kidney injury and repair,10.1038/s41467-025-62599-9,2025,PMC12354736,literature_search,yes (GEO record GSE269719)
Visium mouse kidney spatial transcriptomics,Visium,spatial transcriptomics,Mouse,Kidney,"Ischemia-reperfusion injury and repair stages (sham, 4h, 12h, 2d, 14d, 6w)",,GSE269622,generated,Multimodal spatial transcriptomic characterization of mouse kidney injury and repair,10.1038/s41467-025-62599-9,2025,PMC12354736,literature_search,yes (GEO record GSE269622)
Polonsky et al. mouse spatial transcriptomics,,,Mouse,Kidney,Mouse IRI,,https://zenodo.org/records/12709329,reused,Multimodal spatial transcriptomic characterization of mouse kidney injury and repair,10.1038/s41467-025-62599-9,2025,PMC12354736,literature_search,"yes (zenodo record, 5 files)"
Abedini et al. human spatial transcriptomics,,,Human,Kidney,Chronic Kidney Disease (CKD),,GSE211785,reused,Multimodal spatial transcriptomic characterization of mouse kidney injury and repair,10.1038/s41467-025-62599-9,2025,PMC12354736,literature_search,yes (GEO record GSE211785)
Mouse olfactory bulb spatial transcriptomics dataset,Spatial transcriptomics platform,,Mouse,Olfactory bulb,,12,,reused,Flexible analysis of spatial transcriptomics data (FAST): a deconvolution approach,10.1186/s12859-025-06054-y,2025,PMC11786350,literature_search,no link
Human breast cancer spatial transcriptomics dataset,Spatial transcriptomics platform,,Human,Breast,Breast cancer (DCIS and IDC),,,reused,Flexible analysis of spatial transcriptomics data (FAST): a deconvolution approach,10.1186/s12859-025-06054-y,2025,PMC11786350,literature_search,no link
Mouse brain spatial transcriptomics dataset,10X Visium,spatial transcriptomics,Mouse,Brain,,,,reused,Flexible analysis of spatial transcriptomics data (FAST): a deconvolution approach,10.1186/s12859-025-06054-y,2025,PMC11786350,literature_search,no link
IMC Breast Cancer Dataset,IMC,spatial proteomics,,breast,,,https://doi.org/10.5281/zenodo.6909419,reused,SpatialSort: a Bayesian model for clustering and cell population annotation of spatial proteomics data,10.1093/bioinformatics/btad242,2023,PMC10311307,literature_search,"yes (zenodo record, 1 files)"
CyTOF Bone Marrow Mononuclear Cells Dataset,CyTOF,,,bone marrow,,,https://doi.org/10.5281/zenodo.6909419,reused,SpatialSort: a Bayesian model for clustering and cell population annotation of spatial proteomics data,10.1093/bioinformatics/btad242,2023,PMC10311307,literature_search,"yes (zenodo record, 1 files)"
MIBI DLBCL Dataset,MIBI,spatial proteomics,human,,diffuse large B-cell lymphoma (DLBCL),29,https://doi.org/10.5281/zenodo.6909419,reused,SpatialSort: a Bayesian model for clustering and cell population annotation of spatial proteomics data,10.1093/bioinformatics/btad242,2023,PMC10311307,literature_search,"yes (zenodo record, 1 files)"
CyTOF DLBCL Dataset,CyTOF,,human,,diffuse large B-cell lymphoma (DLBCL),29,https://doi.org/10.5281/zenodo.6909419,reused,SpatialSort: a Bayesian model for clustering and cell population annotation of spatial proteomics data,10.1093/bioinformatics/btad242,2023,PMC10311307,literature_search,"yes (zenodo record, 1 files)"
Human Stereo-seq pretraining dataset,Stereo-seq,spatial transcriptomics,Human,Various (26 human spatial tissue types),,,,reused,OmniCell: Unified Foundation Modelling of Single-Cell and Spatial Transcriptomics for Cellular and Molecular Insights,10.64898/2025.12.29.696804,2025,bio_121d0c8b6f58,literature_search,no link
Human hippocampus Stereo-seq dataset,Stereo-seq,spatial transcriptomics,Human,Hippocampus,Alzheimer's disease and control,,,reused,OmniCell: Unified Foundation Modelling of Single-Cell and Spatial Transcriptomics for Cellular and Molecular Insights,10.64898/2025.12.29.696804,2025,bio_121d0c8b6f58,literature_search,no link
MERFISH mouse brain ageing datasets,MERFISH,spatial transcriptomics,Mouse,Brain,Ageing,31,,reused,OmniCell: Unified Foundation Modelling of Single-Cell and Spatial Transcriptomics for Cellular and Molecular Insights,10.64898/2025.12.29.696804,2025,bio_121d0c8b6f58,literature_search,no link
LC5-M human liver cancer Stereo-seq dataset,Stereo-seq,spatial transcriptomics,Human,Liver,Liver cancer,,,reused,OmniCell: Unified Foundation Modelling of Single-Cell and Spatial Transcriptomics for Cellular and Molecular Insights,10.64898/2025.12.29.696804,2025,bio_121d0c8b6f58,literature_search,no link
osmFISH mouse cortex dataset,osmFISH,spatial transcriptomics,Mouse,Cortex,,,,reused,OmniCell: Unified Foundation Modelling of Single-Cell and Spatial Transcriptomics for Cellular and Molecular Insights,10.64898/2025.12.29.696804,2025,bio_121d0c8b6f58,literature_search,no link
Mouse single-cell spatial transcriptomic atlas,Spatial transcriptomics,,Mouse,Whole brain,,,,reused,OmniCell: Unified Foundation Modelling of Single-Cell and Spatial Transcriptomics for Cellular and Molecular Insights,10.64898/2025.12.29.696804,2025,bio_121d0c8b6f58,literature_search,no link
Macaque spatial transcriptomic atlas,Spatial transcriptomics,,Macaque,Cortex,,,,reused,OmniCell: Unified Foundation Modelling of Single-Cell and Spatial Transcriptomics for Cellular and Molecular Insights,10.64898/2025.12.29.696804,2025,bio_121d0c8b6f58,literature_search,no link
Macaque cortical sections T450 and T483,Spatial transcriptomics,,Macaque,Cortex,,2,,reused,OmniCell: Unified Foundation Modelling of Single-Cell and Spatial Transcriptomics for Cellular and Molecular Insights,10.64898/2025.12.29.696804,2025,bio_121d0c8b6f58,literature_search,no link
mouse hippocampus single-cell microzone spatial transcriptome dataset,ulRNA-seq library construction method combined with single-cell RNA-sequencing and spatial transcriptome sequencing (laser capture microdissection),spatial transcriptomics,mouse,hippocampus,Parkinson's disease,74,,generated,Spatial Transcriptome Profiling of Mouse Hippocampal Single Cell Microzone in Parkinson’s Disease,10.3390/ijms24031810,2023,PMC9915078,literature_search,no link
Human dorsolateral prefrontal cortex Visium dataset,Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,neurotypical,12,,reused,CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data,10.1093/nar/gkac084,2022,PMC9177989,literature_search,no link
Human DLPFC single-nucleus dataset,snRNA-seq,,human,dorsolateral prefrontal cortex,healthy control,17,GSE144136,reused,CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data,10.1093/nar/gkac084,2022,PMC9177989,literature_search,yes (GEO record GSE144136)
Mouse brain Visium dataset,Visium,spatial transcriptomics,mouse,brain,wild-type / normal,1,,reused,CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data,10.1093/nar/gkac084,2022,PMC9177989,literature_search,no link
Mouse primary visual cortex and anterior lateral motor cortex scRNA-seq dataset,scRNA-seq,,mouse,brain (primary visual cortex and anterior lateral motor cortex),wild-type / normal,,GSE115746,reused,CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data,10.1093/nar/gkac084,2022,PMC9177989,literature_search,yes (GEO record GSE115746)
Mouse hippocampus Slide-seq dataset,Slide-seq,spatial transcriptomics,mouse,hippocampus,wild-type / normal,,https://singlecell.broadinstitute.org/single_cell/study/SCP815,reused,CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data,10.1093/nar/gkac084,2022,PMC9177989,literature_search,yes (http 200)
Mouse hippocampus scRNA-seq dataset,scRNA-seq,,mouse,hippocampus,wild-type / normal,,http://dropviz.org/,reused,CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data,10.1093/nar/gkac084,2022,PMC9177989,literature_search,"no (link is a site root, not a dataset)"
Normal human lung Visium dataset (Lung 1 and Lung 2),Visium,spatial transcriptomics,human,lung,normal (tumor-free adjacent tissue),2,GSE172416,generated,CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data,10.1093/nar/gkac084,2022,PMC9177989,literature_search,yes (GEO record GSE172416)
Human normal lung single-cell dataset (Human Lung Cell Atlas),scRNA-seq,,human,lung,normal,3,https://www.synapse.org/#!Synapse:syn21041850,reused,CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data,10.1093/nar/gkac084,2022,PMC9177989,literature_search,yes (http 200)
Human pancreatic ductal adenocarcinoma dataset,ST (Spatial Transcriptomics),spatial transcriptomics,human,pancreas,pancreatic ductal adenocarcinoma,,GSE111672,reused,Precise gene expression deconvolution in spatial transcriptomics with STged,10.1093/nar/gkaf087,2025,PMC11838043,literature_search,yes (GEO record GSE111672)
Human squamous cell carcinoma dataset,ST (Spatial Transcriptomics),spatial transcriptomics,human,skin / tumor,squamous cell carcinoma,,GSE144240,reused,Precise gene expression deconvolution in spatial transcriptomics with STged,10.1093/nar/gkaf087,2025,PMC11838043,literature_search,yes (GEO record GSE144240)
Mouse kidney 10x SRT dataset,Visium v1,spatial transcriptomics,mouse,kidney,healthy,,GSE129798,reused,Precise gene expression deconvolution in spatial transcriptomics with STged,10.1093/nar/gkaf087,2025,PMC11838043,literature_search,yes (GEO record GSE129798)
SeqFISH+ mouse cortex dataset,seqFISH+,spatial transcriptomics,mouse,cortex,healthy,,,reused,Precise gene expression deconvolution in spatial transcriptomics with STged,10.1093/nar/gkaf087,2025,PMC11838043,literature_search,no link
MERFISH mouse medial preoptic area dataset,MERFISH,spatial transcriptomics,mouse,medial preoptic area,healthy,,,reused,Precise gene expression deconvolution in spatial transcriptomics with STged,10.1093/nar/gkaf087,2025,PMC11838043,literature_search,no link
Yale NSCLC Cohort,PhenoCycler Fusion (CODEX) and DSP-GeoMx WTA/CTA,spatial proteomics,human,lung,non-small cell lung cancer,113,,generated,Spatial signatures for predicting immunotherapy outcomes using multi-omics in non-small cell lung cancer,10.1038/s41588-025-02351-7,2025,PMC12513832,literature_search,no link
University of Queensland (UQ) NSCLC Cohort,PhenoCycler Fusion (CODEX) and DSP-GeoMx CTA,spatial proteomics,human,lung,non-small cell lung cancer,42,,generated,Spatial signatures for predicting immunotherapy outcomes using multi-omics in non-small cell lung cancer,10.1038/s41588-025-02351-7,2025,PMC12513832,literature_search,no link
University of Athens (Greek) NSCLC Cohort,PhenoCycler Fusion (CODEX) and DSP-GeoMx WTA,spatial proteomics,human,lung,non-small cell lung cancer,79,,generated,Spatial signatures for predicting immunotherapy outcomes using multi-omics in non-small cell lung cancer,10.1038/s41588-025-02351-7,2025,PMC12513832,literature_search,no link
10x Visium CID44971 and scRNA-seq,10x Visium / 10x Chromium,spatial transcriptomics,human,breast cancer,breast cancer,,GSE176078,reused,SpaIM: single-cell spatial transcriptomics imputation via style transfer,10.1038/s41467-025-63185-9,2025,PMC12375071,literature_search,yes (GEO record GSE176078)
NanoString CosMx SMI Lung9-rep1,NanoString CosMx SMI,spatial transcriptomics,,lung cancer,lung cancer,,,reused,SpaIM: single-cell spatial transcriptomics imputation via style transfer,10.1038/s41467-025-63185-9,2025,PMC12375071,literature_search,no link
NanoString CosMx SMI Lung5-rep3,NanoString CosMx SMI,spatial transcriptomics,,lung cancer,lung cancer,,,reused,SpaIM: single-cell spatial transcriptomics imputation via style transfer,10.1038/s41467-025-63185-9,2025,PMC12375071,literature_search,no link
Sequencing-based ST and scRNA-seq datasets,"Visium, Slide-seq, Slide-seq V2, Seq-scope, HDST",spatial transcriptomics,"Drosophila, mouse, zebrafish, human","embryo, somatosensory cortex, primary visual cortex, breast, prostate, kidney, brain",,,GSE161318,reused,SpaIM: single-cell spatial transcriptomics imputation via style transfer,10.1038/s41467-025-63185-9,2025,PMC12375071,literature_search,yes (GEO record GSE161318)
Imaging-based ST datasets,"seqFISH, seqFISH+, MERFISH, STARmap, ISS, osmFISH",spatial transcriptomics,"mouse, human","gastrulation, embryonic, hippocampus, cortex",,,,reused,SpaIM: single-cell spatial transcriptomics imputation via style transfer,10.1038/s41467-025-63185-9,2025,PMC12375071,literature_search,no link
human dorsolateral prefrontal cortex,10x Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,,12,,reused,A multi-modality and multi-granularity collaborative learning framework for identifying spatial domains and spatially variable genes,10.1093/bioinformatics/btae607,2024,PMC11513014,literature_search,no link
human breast cancer,10x Visium,spatial transcriptomics,human,breast cancer,breast cancer,,,reused,A multi-modality and multi-granularity collaborative learning framework for identifying spatial domains and spatially variable genes,10.1093/bioinformatics/btae607,2024,PMC11513014,literature_search,no link
mouse brain,10x Visium,spatial transcriptomics,mouse,brain,,2,,reused,A multi-modality and multi-granularity collaborative learning framework for identifying spatial domains and spatially variable genes,10.1093/bioinformatics/btae607,2024,PMC11513014,literature_search,no link
mouse olfactory bulb,Stereo-seq,spatial transcriptomics,mouse,olfactory bulb,,,,reused,A multi-modality and multi-granularity collaborative learning framework for identifying spatial domains and spatially variable genes,10.1093/bioinformatics/btae607,2024,PMC11513014,literature_search,no link
Spatial transcriptomics liver tissue dataset,Visium,spatial transcriptomics,Human,Liver,"Healthy, Simple Steatosis, and MASH",5,,generated,Spatial and Single‐Cell Transcriptomics Reveals the Regional Division of the Spatial Structure of  MASH  Fibrosis,10.1111/liv.16125,2024,PMC11891380,literature_search,no link
Single-cell RNA-seq dataset,Single-cell RNA-seq,,Human,Liver,MASLD / MASH,,GSE189175,reused,Spatial and Single‐Cell Transcriptomics Reveals the Regional Division of the Spatial Structure of  MASH  Fibrosis,10.1111/liv.16125,2024,PMC11891380,literature_search,yes (GEO record GSE189175)
PBMC CITE-seq dataset,CITE-seq,,human,peripheral blood mononuclear cells,healthy,,https://support.10xgenomics.com/single-cell-gene-expression/datasets,reused,SMOPCA: spatially aware dimension reduction integrating multi-omics improves the efficiency of spatial domain detection,10.1186/s13059-025-03576-9,2025,PMC12096709,literature_search,unverified (site blocks automated checks: http 403)
Mouse Spleen Lymph Node dataset SLN111D1,CITE-seq,,mouse,spleen lymph node,healthy,,https://github.com/YosefLab/totalVI_reproducibility,reused,SMOPCA: spatially aware dimension reduction integrating multi-omics improves the efficiency of spatial domain detection,10.1186/s13059-025-03576-9,2025,PMC12096709,literature_search,yes (http 200)
Mouse Spleen Lymph Node dataset SLN111D2,CITE-seq,,mouse,spleen lymph node,healthy,,https://github.com/YosefLab/totalVI_reproducibility,reused,SMOPCA: spatially aware dimension reduction integrating multi-omics improves the efficiency of spatial domain detection,10.1186/s13059-025-03576-9,2025,PMC12096709,literature_search,yes (http 200)
Mouse Spleen Lymph Node dataset SLN208D1,CITE-seq,,mouse,spleen lymph node,healthy,,https://github.com/YosefLab/totalVI_reproducibility,reused,SMOPCA: spatially aware dimension reduction integrating multi-omics improves the efficiency of spatial domain detection,10.1186/s13059-025-03576-9,2025,PMC12096709,literature_search,yes (http 200)
Mouse Spleen Lymph Node dataset SLN208D2,CITE-seq,,mouse,spleen lymph node,healthy,,https://github.com/YosefLab/totalVI_reproducibility,reused,SMOPCA: spatially aware dimension reduction integrating multi-omics improves the efficiency of spatial domain detection,10.1186/s13059-025-03576-9,2025,PMC12096709,literature_search,yes (http 200)
PBMC3K SMAGE-seq dataset,SMAGE-seq,,human,peripheral blood mononuclear cells,healthy,,https://www.10xgenomics.com/resources/datasets,reused,SMOPCA: spatially aware dimension reduction integrating multi-omics improves the efficiency of spatial domain detection,10.1186/s13059-025-03576-9,2025,PMC12096709,literature_search,yes (http 200)
