reason,dataset_id,dataset_name,platform,species,tissue,data_access_link,original_publication,original_publication_link
landing page or accession only - no direct file URL resolved,seqfish_gastrula_seqfish,seqFISH (gastrulation),seqFISH,mouse,,https://ars.els-cdn.com/content/image/1-s2.0-S0896627316307024-mmc6.xlsx,,
landing page or accession only - no direct file URL resolved,shah2017_seqfish,seqFISH data,seqFISH,mouse,hippocampus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087994/,"Shah et al., seqFISH Accurately Detects Transcripts in Single Cells and Reveals Robust Spatial Organization in the Hippocampus, Neuron (2017)",https://doi.org/10.1016/j.neuron.2017.05.008
landing page or accession only - no direct file URL resolved,lohoff2022_seqfish,seqFISH data in sagittal slices of mouse embryos,seqFISH,mouse,embryo,https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/,"Lohoff et al., Integration of spatial and single-cell transcriptomic data elucidates mouse organogenesis, Nat Biotechnol (2022)",https://doi.org/10.1038/s41587-021-01006-2
landing page or accession only - no direct file URL resolved,seqfish_dataset__seqfish,seqFISH dataset of 26 individual gastruloids,seqFISH,mouse,gastruloids,https://www.dropbox.com/scl/fo/bchkqlbcjb8ub9m606did/AIudcWZaC566toXzb2L-jXc?rlkey=u0wgtkq8jerxoqb5ump599oip&dl=0,,
landing page or accession only - no direct file URL resolved,seqfish_mouse_ki2024_seqfish,seqFISH mouse kidney ischemia-reperfusion injury dataset,seqFISH,mouse,kidney,https://woldlab.caltech.edu/ci2-celltiles/Mouse-Kidney-Fibrosis/,Spatial transcriptomics defines injury specific microenvironments and cellular interactions in kidney regeneration and disease,https://doi.org/10.1038/s41467-024-51186-z
landing page or accession only - no direct file URL resolved,eng2019_seqfish,seqFISH+ mouse cortex and olfactory bulb dataset,seqFISH+,Mouse,Brain cortex,GSE98674,"Eng et al., Transcriptome-scale super-resolved imaging in tissues by RNA seqFISH+, Nature (2019)",https://doi.org/10.3410/f.735385359.793579535
landing page or accession only - no direct file URL resolved,single_cell_rna_2023_unknown,single-cell RNA-seq and spatial RNA-seq data,,Human,anterior cruciate ligament,PRJCA014157,A single-cell atlas depicting the cellular and molecular features in human anterior cruciate ligamental degeneration: A single cell combined spatial transcriptomics study,https://doi.org/10.7554/eLife.85700.sa2
landing page or accession only - no direct file URL resolved,smfish_dataset2025_smfish,smFISH dataset,smFISH,mouse,claustro-insular region,https://doi.org/10.6084/m9.figshare.c.7953965.v1,A spatial single-cell atlas of the claustro-insular region uncovers key regulators of neuronal identity and excitability,https://doi.org/10.1038/s41467-025-63138-2
landing page or accession only - no direct file URL resolved,snhla_merfish_da2025_vizgen_mersc,snHLA MERFISH Dataset,Vizgen MERSCOPE,Human,Adult lung,https://portal.hubmapconsortium.org/browse/publication/a10041ad9ebae0b42d3c7f602ba37b82,A Multimodal Spatial and Epigenomic Atlas of Human Adult Lung Topography,https://doi.org/10.1101/2025.05.23.655666
landing page or accession only - no direct file URL resolved,spatial_proteomi_lcmsms_orbit,spatial proteomic profiling of 8-cell stage X. tropicalis embryos / OFIC spatial proteomics dataset,"LC-MS/MS (Orbitrap Eclipse with FAIMS Pro Interface, DIA mode)",Xenopus tropicalis,"early embryos / 8-cell stage blastomeres (D1, V1, D2, V2)",MSV000097784,,
landing page or accession only - no direct file URL resolved,spatial_tissue_p_timsultra_ai,"spatial tissue proteomics dataset (mouse liver, human tonsil, and human squamous cell carcinoma)",timsUltra AIP mass spectrometer combined with Evosep ONE,mouse and human,"mouse liver, human palatine tonsil, and human squamous cell carcinoma of the oral cavity/maxilla",PXD069877,,
landing page or accession only - no direct file URL resolved,melo2021_visium,spatial transcriptomic dataset for the mouse kidney demonstration,10X Genomics Visium,Mouse,kidney,GSM5224981,"Melo Ferreira et al., Integration of spatial and single-cell transcriptomics localizes epithelial cell–immune cross-talk in kidney injury, JCI Insight. (2021)",https://doi.org/10.1172/jci.insight.147703
landing page or accession only - no direct file URL resolved,berglund2018_spatial_tran,spatial transcriptomics prostate cancer data,Spatial Transcriptomics,Mouse,prostate,https://www.spatialresearch.org/resources-published-datasets/,"Berglund et al., Spatial maps of prostate cancer transcriptomes reveal an unexplored landscape of heterogeneity, Nat Commun. (2018)",https://doi.org/10.1038/s41467-018-04724-5
landing page or accession only - no direct file URL resolved,wei2022_stereo,spatially transcriptomics data of axolotl brain,Stereo-Seq,Axolotl,Brain,CNGBdb: CNP0002068,"Wei et al., Single-cell Stereo-seq reveals induced progenitor cells involved in axolotl brain regeneration, Science (2022)",https://doi.org/10.3410/f.742304929.793595383
landing page or accession only - no direct file URL resolved,thrane2018_spatial_tran,stage III cutaneous malignant melanoma ST data,Spatial Transcriptomics,human,cutaneous malignant melanoma,https://www.spatialresearch.org/resources-published-datasets/,"Thrane et al., Spatially resolved transcriptomics enables dissection of genetic heterogeneity in stage III cutaneous malignant melanoma, Cancer research (2018)",https://doi.org/10.1158/0008-5472.can-18-0747
landing page or accession only - no direct file URL resolved,tdisco_scrna_seq2024_tdisco,tDISCO scRNA-seq and scProteomics dataset,tDISCO,mouse,cortex,PRJNA952594,Integrating single-cell and spatially resolved transcriptomic strategies to survey the astrocyte response to stroke in male mice,https://doi.org/10.1038/s41467-024-45821-y
landing page or accession only - no direct file URL resolved,gataric2021_iss,targeted ISS of a mouse brain,ISS,mouse,brain,https://doi.org/10.1101/2021.10.12.464086,"Gataric et al., PoSTcode: Probabilistic image-based spatial transcriptomics decoder, Bioinformatics (2021)",https://doi.org/10.1101/2021.10.12.464086
landing page or accession only - no direct file URL resolved,seq_and_3d_storm2016_st,τ-seq and 3D-STORM imaging dataset,3D-STORM and Illumina HiSeq2000 / NextSeq500,Escherichia coli,E. coli cells,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75818,Spatial organization shapes the turnover of a bacterial transcriptome,https://doi.org/10.7554/eLife.13065.029
no link of any kind recorded,beltran2016_tmtbased_ms,10 primary fibroblast datasets (Beltran et al.),TMT-based MS quantification,human,primary fibroblasts,,"Beltran et al., A portrait of the human organelle proteome in space and time during cytomegalovirus infection, Cell systems (2016)",https://doi.org/10.1016/j.cels.2016.08.012
no link of any kind recorded,hajdarovic2022_visium,10X Visium,10X Visium,mouse,Mouse brain,,"Hajdarovic et al., Single-cell analysis of the aging female mouse hypothalamus, Nat. Aging (2022)",https://doi.org/10.1038/s43587-022-00246-4
no link of any kind recorded,10x_genomics_vis_visium,10x Genomics Visium Spatial Transcriptomics tongue dataset,Visium,mouse,tongue,,,
no link of any kind recorded,stur2022_visium,10x Genomics Visium human HGSC ovarian cancer dataset,10x Genomics Visium,human,ovarian tumor,,"Stur et al., Spatially resolved transcriptomics of high-grade serous ovarian carcinoma, iScience (2022)",https://doi.org/10.1016/j.isci.2022.103923
no link of any kind recorded,fonseca2023_visium,10x Genomics Visium human endometriosis dataset,10x Genomics Visium,human,endometriosis lesion,,"Fonseca et al., Single-cell transcriptomic analysis of endometriosis, Nat Genet (2023)",https://doi.org/10.2139/ssrn.3780107
no link of any kind recorded,arutyunyan2023_visium_2,10x Genomics Visium human maternal-fetal interface dataset,10x Genomics Visium,human,maternal-fetal interface / placenta,,"Arutyunyan et al., Spatial multiomics map of trophoblast development in early pregnancy, Nature (2023)",
no link of any kind recorded,mesa2021_visium,10x Genomics Visium mouse uterus Ezh2 KO dataset,10x Genomics Visium,mouse,uterus,,"Mesa et al., Spatial transcriptomics analysis of uterine gene expression in enhancer of zeste homolog 2 conditional knockout micedagger, Biol Reprod (2021)",
no link of any kind recorded,li2022_visium_2,10x Genomics Visium mouse uterus implantation site dataset,10x Genomics Visium,mouse,uterus,,"Li et al., Spatial transcriptomic profiles of mouse uterine microenvironments at pregnancy day 7.5, Biol Reprod (2022)",
no link of any kind recorded,10x_genomics_vis2022_visium,10x Genomics Visium spatial gene expression dataset,10x Genomics Visium,human,ureter,,Processing and cryopreservation of human ureter tissues for single-cell and spatial transcriptomics assays,https://doi.org/10.1016/j.xpro.2022.101854
no link of any kind recorded,10x_genomics_vis2024_visium,10x Genomics Visium superficial biopsies datasets,10x Genomics Visium,human,endometrium,,An integrated single-cell reference atlas of the human endometrium,https://doi.org/10.1038/s41588-024-01873-w
no link of any kind recorded,nikopoulou2023_visium,10x Visium (mouse liver dataset),10x Visium,mouse,liver,,"Nikopoulou et al., Spatial and single-cell profiling of the metabolome, transcriptome and epigenome of the aging mouse liver, Nat Aging (2023)",https://doi.org/10.1038/s43587-023-00513-y
no link of any kind recorded,ferreira2024_xenium,10x Xenium human kidney dataset,10x Xenium,human,kidney,,"Ferreira et al., A MEF2C transcription factor network regulates proliferation of glomerular endothelial cells in diabetic kidney disease (2024)",
no link of any kind recorded,chen2022_unknown,10x-hMTG-18-64,,,MTG,,"Chen et al., Spatially resolved transcriptomics reveals genes associated with the vulnerability of middle temporal gyrus in Alzheimer's disease, Acta Neuropathologica Communications (2022)",https://doi.org/10.21203/rs.3.rs-855234/v1
no link of any kind recorded,sun2024_merfish,140-gene MERFISH coronal section dataset,MERFISH,Mouse,Brain,,"Sun et al., TISSUE: uncertainty-calibrated prediction of single-cell spatial transcriptomics improves downstream analyses, Nat. Methods (2024)",https://doi.org/10.1038/s41592-024-02184-y
no link of any kind recorded,1640_gene_drugga2023_cellpaintpos,1640-Gene Druggable Genome Discovery Screen Dataset,CellPaint-POSH,Human,A549 (adenocarcinomic human alveolar basal epithelial cells),,A Pooled Cell Painting CRISPR Screening Platform Enables de novo Inference of Gene Function by Self-supervised Deep Learning,https://doi.org/10.1101/2023.08.13.553051
no link of any kind recorded,karaiskos2017_fish,3D fluorescence in situ hybridization (FISH) drosophila embryos dataset,FISH,Drosophila,Embryo,,"Karaiskos et al., The Drosophila embryo at single-cell transcriptome resolution, Science (2017)",
no link of any kind recorded,fang2023_unknown,3D mouse anterior hypothalamus dataset,,mouse,anterior hypothalamus,,"Fang et al., Three-dimensional single-cell transcriptome imaging of thick tissues, bioRxiv (2023)",https://doi.org/10.7554/elife.90029.2.sa1
no link of any kind recorded,3d_multiplexed_i2023_confocal_mic,3D multiplexed immunofluorescence imaging and label-free cytometry (3DTC),Confocal microscopy / multiphoton microscopy,human,kidney,,An atlas of healthy and injured cell states and niches in the human kidney,https://doi.org/10.1038/s41586-023-05769-3
no link of any kind recorded,ghose2023_unknown,3D reconstruction of skin dataset,,human,skin,,"Ghose et al., 3D reconstruction of skin and spatial mapping of immune cell density, vascular distance and effects of sun exposure and aging, Commun. Biol. (2023)",https://doi.org/10.1038/s42003-023-04991-z
no link of any kind recorded,vickovic2022_in_situ_spat,3D spatial transcriptomics rheumatoid arthritis synovium dataset,In situ spatial barcoding,Human,Synovium,,"Vickovic et al., Three-dimensional spatial transcriptomics uncovers cell type localizations in the human rheumatoid arthritis synovium, Commun Biol (2022)",
no link of any kind recorded,segura2022_unknown,3D transcriptomics atlas of the mouse nose,,mouse,nose,,"Segura et al., A 3D transcriptomics atlas of the mouse nose sheds light on the anatomical logic of smell, Cell Rep. (2022)",
no link of any kind recorded,mohenska2021_rna_sequenci,3D-Cardiomics dataset,RNA sequencing,mammal (mouse),heart,,"Mohenska et al., 3D-cardiomics: A spatial transcriptional atlas of the mammalian heart, J Mol Cell Cardiol (2021)",https://doi.org/10.1016/j.yjmcc.2021.09.011
no link of any kind recorded,a549_cell_cultur2025_raefish,A549 cell culture RAEFISH dataset,RAEFISH,Human,Cell culture (A549),,Sequencing-free whole genome spatial transcriptomics at molecular resolution in intact tissue,https://doi.org/10.1101/2025.03.06.641951
no link of any kind recorded,a549_cells_frame2023_iss,A549 cells frameshift reporter and CD81 CRISPR screen dataset,PerturbView / In situ sequencing (ISS) / Flow cytometry,Human,A549 cell line,,"Highly multiplexed, image-based pooled screens in primary cells and tissues with PerturbView",https://doi.org/10.1101/2023.12.26.573143
no link of any kind recorded,acc1_acc5_visiumhd,ACC1–ACC5,Visium HD,human,salivary gland,,,
no link of any kind recorded,nguyen2020_snrnaseq,AD snRNA-seq dataset,snRNA-seq,human,middle frontal neocortex,,"Nguyen et al., APOE and TREM2 regulate amyloid-responsive microglia in Alzheimer’s disease, Acta Neuropathol. (2020)",https://doi.org/10.1007/s00401-020-02200-3
no link of any kind recorded,zhang2023_scrnaseq,AMP RA phase II database,scRNA-seq,human,synovial membrane,,"Zhang et al., Deconstruction of rheumatoid arthritis synovium defines inflammatory subtypes, Nature (2023)",
no link of any kind recorded,engesser2024_visium,ANCA-associated glomerulonephritis immune profiling dataset,Visium,Human,Kidney,,"Engesser et al., Immune profiling-based targeting of pathogenic T cells with ustekinumab in ANCA-associated glomerulonephritis, Nat Commun (2024)",
no link of any kind recorded,sun2025_unknown,AP,,mouse,brain,,"Sun et al., Brain aging and rejuvenation at single-cell resolution, Neuron (2025)",https://doi.org/10.1016/j.neuron.2024.12.007
no link of any kind recorded,ap3_and_ag_domai2022_smartseq_v4,AP3- and AG-domain FANS RNA-seq,SMART-Seq v4 Ultra Low Input RNA Kit,Arabidopsis thaliana,AP3 and AG expression domains in floral meristems,,A 3D gene expression atlas of the floral meristem based on spatial reconstruction of single nucleus RNA sequencing data,https://doi.org/10.1038/s41467-022-30177-y
no link of any kind recorded,dixon2022_visium,Acute kidney injury murine model ST data,10X Genomics Visium,Mouse,kidney,,"Dixon et al., Spatially Resolved Transcriptomic Analysis of Acute Kidney Injury in a Female Murine Model, J Am Soc Nephrol. (2022)",https://doi.org/10.1681/asn.2021081150
no link of any kind recorded,asp2017_st,Adult Human Heart dataset (ST sequencing),ST sequencing,Human,Heart,,"Asp et al., Spatial detection of fetal marker genes expressed at low level in adult human heart tissue, Sci. Rep. (2017)",https://doi.org/10.1038/s41598-017-13462-5
no link of any kind recorded,lei2022_stereo,Adult Macaque cortex Stereoseq chips,Stereoseq,Macaque,Cortex,,"Lei et al., Spatially resolved gene regulatory and disease-related vulnerability map of the adult Macaque cortex, Nat. Commun. (2022)",https://doi.org/10.1038/s41467-022-34413-3
no link of any kind recorded,litviukov2020_unknown,Adult human heart cell atlas,,Human,Adult human heart,,"Litviňuková et al., Cells of the adult human heart, Nature (2020)",
no link of any kind recorded,litviukov2020_unknown_2,Adult human heart single-cell and spatial data,,human,heart,,"Litviňuková et al., Cells of the adult human heart, Nature (2020)",
no link of any kind recorded,adult_human_smal_visium,Adult human small intestine dataset,Visium,mouse,brain,,,
no link of any kind recorded,yao2023_10x_genomics,Adult mouse brain scRNA-seq reference (whole adult mouse brain),10x Genomics Chromium v2,mouse,brain,,"Yao et al., A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain, Nature (2023)",https://doi.org/10.1111/jnc.70406/v1/review1
no link of any kind recorded,ortiz2020_spatial_tran,Adult mouse brain spatial atlas,Spatial Transcriptomics,Mouse,brain,,"Ortiz et al., Molecular atlas of the adult mouse brain, Sci Adv. (2020)",https://doi.org/10.1126/sciadv.abb3446
no link of any kind recorded,tasic2016_smartseq2,Adult mouse cortex scRNA-seq dataset,Smart-seq2,mouse,cortex,,"Tasic et al., Adult mouse cortical cell taxonomy revealed by single cell transcriptomics, Nat. Neurosci. (2016)",https://doi.org/10.1038/nn.4216
no link of any kind recorded,ortiz2020_st,Adult mouse whole-brain multi-slice dataset,ST,Mouse,Whole brain,,"Ortiz et al., Molecular atlas of the adult mouse brain, Sci. Adv. (2020)",https://doi.org/10.1126/sciadv.abb3446
no link of any kind recorded,hawrylycz2012_in_situ_hybr,Allen Human Brain Atlas ISH dataset,in situ hybridization,human,brain,,"Hawrylycz et al., An anatomically comprehensive atlas of the adult human brain transcriptome, Nature (2012)",https://doi.org/10.3410/f.717960639.793463706
no link of any kind recorded,ding2016_unknown,"Allen Human Reference Atlas - 3D, 2020",,human,brain,,"Ding et al., Comprehensive cellular-resolution atlas of the adult human brain, J Comp Neurol (2016)",
no link of any kind recorded,oh2014_anterograde,Allen Mouse Brain Connectivity Atlas,anterograde viral microinjection,mouse,brain,,"Oh et al., A mesoscale connectome of the mouse brain, Nature (2014)",
no link of any kind recorded,johnston2025_merfish,Alzheimer's disease MERFISH dataset,MERFISH,mouse,brain,,"Johnston et al., Single-cell spatial transcriptomics reveals distinct patterns of dysregulation in non-neuronal and neuronal cells induced by the Trem2 R47H Alzheimer’s risk gene mutation, Molecular Psychiatry (2025)",https://doi.org/10.1038/s41380-024-02651-0
no link of any kind recorded,chen2020_iss,Alzheimer's disease mouse and human brain data,ISS and capture-based ST,human and mouse,brain,,"Chen et al., Spatial transcriptomics and in situ sequencing to study Alzheimer's Disease, Cell (2020)",
no link of any kind recorded,chen2020_spatial_tran,Alzheimer's disease mouse/human brain ST data,Spatial Transcriptomics,Mouse,brain,,"Chen et al., Spatial Transcriptomics and In Situ Sequencing to Study Alzheimer’s Disease, Cell. (2020)",
no link of any kind recorded,amrute2024_unknown,Amrute et al. heart failure ST dataset,,human,"human cardiac tissues (healthy donors, acutely infarcted, and chronically failing human hearts)",,"Amrute et al., Targeting Immune-Fibroblast Cell Communication in Heart Failure, Nature (2024)",
no link of any kind recorded,giacomello2017_unknown,"Arabidopsis inflorescence meristem, European Populus tremula leaf buds, and Picea abies female cones spatial transcriptome dataset",,"Arabidopsis thaliana, Populus tremula, Picea abies","inflorescence meristem, leaf buds, female cones",,"Giacomello et al., Spatially resolved transcriptome profiling in model plant species, Nat. Plants (2017)",https://doi.org/10.1038/nplants.2017.61
no link of any kind recorded,xia2022_stereo,Arabidopsis leaves single-cell stereo-seq dataset,stereo-seq,Arabidopsis thaliana,leaves,,"Xia et al., The single-cell stereo-seq reveals region-specific cell subtypes and transcriptome profiling in Arabidopsis leaves, Dev. Cell (2022)",https://doi.org/10.1016/j.devcel.2022.04.011
no link of any kind recorded,sun2021_barseq2,BARseq2 mouse cortex dataset,BARseq2,mouse,cortex,,"Sun et al., Integrating barcoded neuroanatomy with spatial transcriptional profiling enables identification of gene correlates of projections, Nat Neurosci (2021)",https://doi.org/10.3410/f.740083836.793587566
no link of any kind recorded,jorstad2023_snrnaseq,BICCN neocortex dataset,snRNA-seq,human,cerebral cortex,,"Jorstad et al., Transcriptomic cytoarchitecture reveals principles of human neocortex organization, Science (2023)",https://doi.org/10.1126/science.adf6812
no link of any kind recorded,cable2021_slideseq,BISCP948CE,Slide-seqV2,,Cerebellum,,"Cable et al., Robust decomposition of cell type mixtures in spatial transcriptomics, Nature Biotechnology (2021)",https://doi.org/10.1038/s41587-021-00830-w
no link of any kind recorded,chen2017_st,"BaristaSeq datasets (Slice 1, Slice 2, Slice 3)",BaristaSeq,,brain cortex,,"Chen et al., Efficient in situ barcode sequencing using padlock probe-based BaristaSeq, Nucleic Acids Research (2017)",https://doi.org/10.1093/nar/gkx1206
no link of any kind recorded,peiratsllobet2023_spatial_tran,Barley grain spatial transcriptome,Spatial transcriptomics,Hordeum vulgare,germinating grain,,"Peirats-Llobet et al., Spatially resolved transcriptomic analysis of the germinating barley grain, Nucleic Acids Res. (2023)",https://doi.org/10.1093/nar/gkad521
no link of any kind recorded,bassez2021_singlecell_r,Bassez Breast Cancer Dataset,Single-cell RNA sequencing,Human,Breast cancer,,"Bassez et al., A single-cell map of intratumoral changes during anti-PD1 treatment of patients with breast cancer, Nat Med (2021)",
no link of any kind recorded,bergenstrhle2022_visium,Bergenstrahle2021,Visium,,,,"Bergenstråhle et al., Super-resolved spatial transcriptomics by deep data fusion, Nat Biotechnol (2022)",https://doi.org/10.1038/s41587-021-01075-3
no link of any kind recorded,bergenstrhle2022_unknown,Bergenstrahle2021 datasets,,human,"intestine cancer, squamous cell carcinoma",,"Bergenstråhle et al., Super-resolved spatial transcriptomics by deep data fusion, Nat Biotechnol (2022)",https://doi.org/10.1038/s41587-021-01075-3
no link of any kind recorded,gouin2021_spatial_tran,Bladder cancer spatial transcriptomics,Spatial Transcriptomics,Human,bladder,,"Gouin et al., An N-Cadherin 2 expressing epithelial cell subpopulation predicts response to surgery, chemotherapy and immunotherapy in bladder cancer, Nat Commun. (2021)",https://doi.org/10.1038/s41467-021-25103-7
no link of any kind recorded,blumhagen2023_geomx,Blumhagen GeoMx spatial transcriptomics dataset,NanoString GeoMx DSP,Human,Lung,,"Blumhagen et al., Spatially Distinct Molecular Patterns of Gene Expression in Idiopathic Pulmonary Fibrosis, Respir. Res. (2023)",https://doi.org/10.1186/s12931-023-02572-6
no link of any kind recorded,bone_marrow_cite2024_10x_genomics,Bone marrow CITE-seq and Infinity Flow datasets,10x Genomics Chromium; Cytek Aurora,Human,Bone marrow,,An immunophenotype-coupled transcriptomic atlas of human hematopoietic progenitors,https://doi.org/10.1038/s41590-024-01782-4
no link of any kind recorded,tietscher2023_imc,Breast Cancer IMC Dataset,IMC,human,breast tumor tissue,,"Tietscher et al., A comprehensive single-cell map of T cell exhaustion-associated immune environments in human breast cancer, Nat. Commun. (2023)",https://doi.org/10.1038/s41467-022-35238-w
no link of any kind recorded,breast_cancer_br_visium,Breast cancer (BRCA) dataset,10x Genomics Visium,human,breast cancer,,,
no link of any kind recorded,he2022_visium,Breast cancer dataset,Visium,human,breast tumor,,"He et al., Starfysh reveals heterogeneous spatial dynamics in the breast tumor microenvironment, bioRxiv (2022)",https://doi.org/10.1101/2022.11.21.517420
no link of any kind recorded,ali2020_imc,Breast cancer imaging mass cytometry dataset,IMC,,breast tumor samples (METABRIC),,"Ali et al., Imaging mass cytometry and multiplatform genomics define the phenogenomic landscape of breast cancer, Nat. Cancer (2020)",
no link of any kind recorded,levyjurgenson2020_digital_path,Breast cancer pathology whole-slide images spatial transcriptomics dataset,Digital pathology whole-slide images (inferred spatial transcriptomics),Human,Breast cancer,,"Levy-Jurgenson et al., Spatial transcriptomics inferred from pathology whole-slide images links tumor heterogeneity to survival in breast and lung cancer, Sci. Rep. (2020)",https://doi.org/10.1038/s41598-020-75708-z
no link of any kind recorded,c_g2p_liver_spat2025_visium,C-G2P liver spatial transcriptomics,10X Visium,mouse,liver,,Integrated in vivo combinatorial functional genomics and spatial transcriptomics of tumours to decode genotype-to-phenotype relationships,https://doi.org/10.1038/s41551-025-01437-1
no link of any kind recorded,ebbing2018_spatial_tran,C. elegans spatial transcriptomics dataset,spatial transcriptomics,Caenorhabditis elegans,,,"Ebbing et al., Spatial transcriptomics of C. elegans males and hermaphrodites identifies Sex-Specific differences in gene expression patterns, Dev. Cell (2018)",
no link of any kind recorded,rauber2024_visium,CD200+ fibroblasts and ILC2s arthritis dataset,Visium,Human,Synovium,,"Rauber et al., CD200+ fibroblasts form a pro-resolving mesenchymal network in arthritis, Nat Immunol (2024)",
no link of any kind recorded,stoeckius2017_citeseq,CITE-seq immune cell data,CITE-seq,,immune subpopulations,,"Stoeckius et al., Simultaneous epitope and transcriptome measurement in single cells, Nat Methods (2017)",
no link of any kind recorded,codex_proteomic_2023_codex,CODEX Proteomic Dataset,CODEX (Akoya Biosciences),human,breast tissue,,A spatially resolved single cell genomic atlas of the adult human breast,https://doi.org/10.1101/2023.04.22.537946
no link of any kind recorded,shaban2024_codex,CODEX cHL dataset,CODEX,human,classic Hodgkin Lymphoma tumor,,"Shaban et al., Maps: Pathologist-level cell type annotation from tissue images through machine learning, Nature Communications (2024)",https://doi.org/10.1101/2023.06.25.546474
no link of any kind recorded,codex_multiplexe_codex,CODEX multiplexed immunofluorescence dataset,CODEX,Mouse,Kidney,,,
no link of any kind recorded,comet_if_and_hyp_imc,COMET IF and Hyperion XTi IMC dataset,COMET IF and Hyperion XTi IMC,Human,Bone marrow,,,
no link of any kind recorded,comet_high_plex_2024_comet,COMET high-plex sequential immunofluorescence dataset,COMET,human,lung,,Spatial transcriptomic characterization of pathologic niches in IPF,https://doi.org/10.1126/sciadv.adl5473
no link of any kind recorded,comet_lung_carci_st,COMET lung carcinoma dataset,COMET hyperplex immunohistochemistry (hIHC),human,lung carcinoma,,,
no link of any kind recorded,qi2022_visium,CRC dataset (CRC-2),10x Visium,Human,Colorectum,,"Qi et al., Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer, Nat. Commun. (2022)",https://doi.org/10.1038/s41467-022-29366-6
no link of any kind recorded,wang2023_imc,CRC liver metastases dataset,IMC,human,colorectal cancer primary tumours and liver metastases,,"Wang et al., Extracellular vesicles in fatty liver promote a metastatic tumor microenvironment, Cell Metab. (2023)",
no link of any kind recorded,wang2023_imc_3,CRC liver metastases dataset,Imaging mass cytometry (IMC),Human,"Primary CRC tumors, CRC liver metastases, and healthy liver",,"Wang et al., Extracellular vesicles in fatty liver promote a metastatic tumor microenvironment, Cell Metab. (2023)",
no link of any kind recorded,crc_pt3_cohort_t_visium,CRC pT3 cohort (traditional and enhanced protocols),Visium / CytAssist,Human,Colorectal cancer (CRC),,,
no link of any kind recorded,crc_spatial_tran_unknown,CRC spatial transcriptomics slices,,human,colorectal cancer,,,
no link of any kind recorded,de2025_unknown,CRC-HD,,,colorectal cancer,,"de Oliveira et al., High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer, Nature Genetics (2025)",https://doi.org/10.1038/s41588-025-02193-3
no link of any kind recorded,wang2024_visium,CROST human Visium datasets,Visium,human,,,"Wang et al., CROST: a comprehensive repository of spatial transcriptomics, Nucleic Acids Res (2024)",https://doi.org/10.1093/nar/gkad782
no link of any kind recorded,phillips2021_codex,CTCL,CODEX,,skin,,"Phillips et al., Immune cell topography predicts response to PD-1 blockade in cutaneous T cell lymphoma, Nat. Commun. (2021)",https://doi.org/10.3410/f.741188990.793590165
no link of any kind recorded,tzur2018_tomo,Caenorhabditis elegans gonadal spatial transcriptomics,RNA tomography (tomo-seq),Caenorhabditis elegans,germline / gonad,,"Tzur et al., Spatiotemporal gene expression analysis of the germline uncovers a syncytial expression switch, Genetics (2018)",https://doi.org/10.1534/genetics.118.301315
no link of any kind recorded,ebbing2018_tomo,Caenorhabditis elegans spatial transcriptomics,RNA tomography (tomo-seq),Caenorhabditis elegans,males and hermaphrodites,,"Ebbing et al., Spatial transcriptomics of C. elegans males and hermaphrodites identifies sex-specific differences in gene expression patterns, Dev Cell (2018)",
no link of any kind recorded,ghandi2019_rnaseq,Cancer Cell Line Encyclopedia (CCLE) bulk RNA-seq,RNA-seq,Human,Cell lines,,"Ghandi et al., Next-generation characterization of the cancer cell line encyclopedia, Nature (2019)",https://doi.org/10.3410/f.735709859.793560036
no link of any kind recorded,kleshchevnikov2022_spatial_tran,Cell2location mouse brain spatial dataset,Spatial Transcriptomics,Mouse,brain,,"Kleshchevnikov et al., Cell2location maps fine-grained cell types in spatial transcriptomics, Nat Biotechnol. (2022)",https://doi.org/10.1038/s41587-021-01139-4
no link of any kind recorded,wu2022_codex,Charville,CODEX,,Colon,,"Wu et al., Space-gm: geometric deep learning of disease-associated microenvironments from multiplex spatial protein profiles, bioRxiv (2022)",
no link of any kind recorded,guo2022_unknown,Chinese cabbage leafy head spatial transcriptome dataset,,Brassica rapa (Chinese cabbage),leafy head / leaves,,"Guo et al., Series-spatial transcriptome profiling of leafy head reveals the key transition leaves for head formation in Chinese cabbage, Front. Plant Sci. (2022)",https://doi.org/10.3389/fpls.2021.787826
no link of any kind recorded,wu2024_unknown,Cholestatic Injury and Repair Spatiotemporal Atlas,,Mouse,,,"Wu et al., A Spatiotemporal Atlas of Cholestatic Injury and Repair in Mice, Nat. Genet. (2024)",
no link of any kind recorded,cichlid_telencep2023_visium,Cichlid telencephalon Visium spatial transcriptomics dataset,10X Genomics Visium,Mchenga conophoros,telencephalon,,Spatially resolved cell atlas of the teleost telencephalon and deep homology of the vertebrate forebrain,https://doi.org/10.1101/2023.07.20.549873
no link of any kind recorded,shaban2024_chl_codex,Classical Hodgkin lymphoma CODEX (>134k annotated cells),CODEX,human,lymph node,,"Shaban et al. (MAPS), Nature Communications 15, 28 (2024)",https://doi.org/10.1038/s41467-023-44188-w
